client_id,sexe,âge,revenu_mensuel,segment_age,revenu_cat,produit,canal_achat,montant_panier,panier_frequent,note_satisfaction,retour_produit,date_achat
39,Homme,33,2570.46,Adulte,Moyen,Mode,Desktop,44.3,Non,4,Non,2023-07-06
40,Homme,58,3632.48,Mature,Moyen,Électronique,App,78.89,Oui,5,Non,2023-10-15
41,Homme,29,2760.17,Adulte,Moyen,Mode,Desktop,30.8,Non,4,Non,2023-11-19
42,Homme,59,2946.64,Mature,Moyen,Électronique,Desktop,29.99,Non,3,Non,2023-08-18
43,Femme,38,3784.08,Adulte,Moyen,Mode,Email,71.06,Non,3,Non,2023-06-03
44,Femme,24,1029.58,Jeune,Bas,Mode,Mobile,88.4,Non,2,Non,2023-03-12
45,Femme,51,2415.95,Mature,Moyen,Électronique,Mobile,189.8,Non,3,Non,2023-09-23
46,Femme,39,1313.22,Adulte,Bas,Mode,Desktop,47.01,Non,4,Non,2023-07-27
47,Femme,46,3330.48,Mature,Moyen,Beauté,Mobile,42.85,Non,3,Non,2023-11-02
48,Homme,50,3326.16,Mature,Moyen,Maison,Mobile,55.08,Non,2,Oui,2023-04-26
49,Femme,41,5215.72,Mature,Élevé,Beauté,Desktop,80.46,Non,2,Non,2023-10-08
50,Femme,32,2385.66,Adulte,Moyen,Maison,Desktop,99.36,Non,2,Oui,2023-10-22
51,Homme,47,1000.0,Mature,Bas,Électronique,Desktop,75.75,Oui,4,Non,2023-05-02
52,Femme,38,2478.19,Adulte,Moyen,Mode,Mobile,134.97,Non,2,Non,2023-09-28
53,Homme,44,2998.17,Mature,Moyen,Maison,Mobile,31.33,Oui,5,Non,2023-06-09
54,Femme,18,1802.78,Jeune,Bas,Beauté,Mobile,250.55,Oui,5,Non,2023-11-16
55,Homme,42,3139.91,Mature,Moyen,Maison,Email,222.05,Oui,3,Non,2023-02-21
56,Femme,31,1056.41,Adulte,Bas,Mode,Mobile,20.29,Non,2,Oui,2023-12-21
57,Femme,54,3236.37,Mature,Moyen,Beauté,Mobile,34.73,Non,2,Oui,2023-10-07
58,Homme,44,3434.05,Mature,Moyen,Électronique,Mobile,115.1,Non,2,Oui,2023-05-03
59,Homme,40,4010.19,Adulte,Élevé,Électronique,App,147.45,Non,2,Oui,2023-06-18
60,Homme,42,1873.06,Mature,Bas,Sport,Desktop,49.68,Non,4,Non,2023-04-24
61,Homme,28,5462.28,Adulte,Élevé,Électronique,Mobile,82.02,Non,2,Non,2023-03-31
62,Homme,54,4271.8,Mature,Élevé,Électronique,Mobile,128.34,Non,2,Non,2023-04-11
63,Homme,57,3201.22,Mature,Moyen,Mode,Email,92.62,Oui,5,Non,2023-10-24
64,Homme,41,2454.43,Mature,Moyen,Électronique,Mobile,38.03,Non,3,Non,2023-01-23
65,Homme,53,3042.42,Mature,Moyen,Maison,Desktop,146.12,Non,2,Oui,2023-01-19
66,Femme,32,3820.85,Adulte,Moyen,Électronique,Desktop,154.49,Non,2,Non,2023-06-23
67,Femme,30,2166.83,Adulte,Moyen,Maison,Desktop,28.05,Non,2,Oui,2023-05-19
68,Homme,38,4550.59,Adulte,Élevé,Électronique,Email,97.65,Non,3,Non,2023-02-20
69,Femme,42,2765.0,Mature,Moyen,Maison,Mobile,63.64,Oui,3,Non,2023-02-16
70,Femme,34,2086.87,Adulte,Moyen,Beauté,App,50.67,Non,2,Non,2023-01-18
71,Femme,43,3022.44,Mature,Moyen,Beauté,Email,59.92,Non,4,Non,2023-04-02
72,Femme,41,3393.47,Mature,Moyen,Électronique,Email,96.3,Non,4,Non,2023-07-26
73,Homme,28,3539.05,Adulte,Moyen,Sport,Mobile,50.97,Non,4,Non,2023-02-01
74,Femme,43,3168.1,Mature,Moyen,Mode,Mobile,69.73,Oui,5,Non,2023-07-14
75,Homme,46,2522.09,Mature,Moyen,Électronique,Mobile,34.02,Non,3,Non,2023-06-28
76,Femme,39,1960.68,Adulte,Bas,Beauté,Desktop,28.94,Non,2,Non,2023-07-16
77,Femme,49,2434.12,Mature,Moyen,Mode,Mobile,29.87,Non,2,Oui,2023-12-30
78,Femme,25,3085.87,Jeune,Moyen,Électronique,App,48.16,Non,2,Non,2023-03-30
79,Homme,42,3387.61,Mature,Moyen,Électronique,Email,34.24,Oui,3,Non,2023-02-25
80,Femme,26,2866.26,Adulte,Moyen,Beauté,Email,30.51,Non,4,Non,2023-05-19
81,Homme,26,5460.02,Adulte,Élevé,Électronique,Desktop,188.39,Non,3,Non,2023-02-09
82,Femme,31,2671.53,Adulte,Moyen,Beauté,Desktop,37.37,Non,2,Non,2023-09-23
83,Homme,28,2918.69,Adulte,Moyen,Électronique,Mobile,90.84,Non,2,Oui,2023-05-03
84,Femme,32,3081.53,Adulte,Moyen,Beauté,App,53.02,Non,4,Non,2023-04-11
85,Homme,35,3538.73,Adulte,Moyen,Sport,Desktop,54.54,Non,2,Non,2023-05-16
86,Homme,46,3547.92,Mature,Moyen,Électronique,Desktop,198.91,Non,3,Non,2023-04-11
87,Femme,34,3280.1,Adulte,Moyen,Mode,Email,72.76,Non,3,Non,2023-06-06
88,Homme,22,2366.54,Jeune,Moyen,Électronique,Email,84.76,Non,4,Non,2023-12-13
89,Femme,49,3765.45,Mature,Moyen,Électronique,Mobile,89.28,Non,4,Non,2023-10-29
90,Femme,29,1896.71,Adulte,Bas,Beauté,App,34.0,Oui,5,Non,2023-11-23
91,Femme,37,1899.53,Adulte,Bas,Beauté,Mobile,74.18,Non,2,Oui,2023-01-23
92,Femme,42,2371.49,Mature,Moyen,Maison,Desktop,27.19,Oui,3,Non,2023-04-01
93,Femme,39,2879.14,Adulte,Moyen,Mode,Mobile,48.62,Non,2,Non,2023-01-05
94,Femme,48,2838.61,Mature,Moyen,Maison,Email,106.38,Non,2,Oui,2023-09-02
95,Femme,42,3792.22,Mature,Moyen,Beauté,Desktop,39.55,Non,2,Oui,2023-11-25
96,Femme,29,3836.09,Adulte,Moyen,Mode,App,39.92,Oui,3,Non,2023-12-31
97,Femme,59,2804.53,Mature,Moyen,Mode,Email,56.03,Non,3,Non,2023-05-09
98,Femme,39,2617.84,Adulte,Moyen,Mode,Email,43.53,Oui,5,Non,2023-07-09
99,Femme,36,3213.4,Adulte,Moyen,Mode,App,104.56,Oui,5,Non,2023-07-16
100,Homme,47,4163.79,Mature,Élevé,Sport,Email,109.33,Non,4,Non,2023-03-21
101,Homme,40,2494.25,Adulte,Moyen,Sport,Mobile,26.71,Non,3,Non,2023-11-30
102,Femme,41,2454.76,Mature,Moyen,Mode,Mobile,58.95,Oui,3,Non,2023-10-23
103,Femme,62,2310.2,Senior,Moyen,Mode,Desktop,195.21,Oui,3,Non,2023-11-16
104,Femme,35,1911.52,Adulte,Bas,Maison,Mobile,46.14,Non,4,Non,2023-11-25
105,Femme,34,2954.79,Adulte,Moyen,Maison,Email,45.34,Oui,4,Non,2023-04-25
106,Femme,39,3298.5,Adulte,Moyen,Mode,App,77.19,Oui,5,Non,2023-08-13
107,Femme,48,3387.88,Mature,Moyen,Beauté,Mobile,62.65,Non,4,Non,2023-02-11
108,Femme,22,3721.41,Jeune,Moyen,Maison,Mobile,55.06,Non,3,Non,2023-09-20
109,Femme,18,3984.25,Jeune,Moyen,Électronique,Desktop,61.45,Non,2,Non,2023-08-01
110,Homme,32,4361.46,Adulte,Élevé,Sport,Email,99.32,Non,3,Non,2023-05-23
111,Femme,21,3123.81,Jeune,Moyen,Mode,Desktop,54.64,Non,2,Oui,2023-09-05
112,Homme,33,2408.88,Adulte,Moyen,Sport,Mobile,229.08,Non,2,Non,2023-08-14
113,Femme,43,2740.84,Mature,Moyen,Mode,Mobile,47.94,Non,3,Non,2023-03-01
114,Femme,29,2137.32,Adulte,Moyen,Électronique,Desktop,88.05,Non,4,Non,2023-11-07
115,Homme,23,4356.04,Jeune,Élevé,Électronique,Email,49.94,Non,3,Non,2023-06-15
116,Femme,38,2329.12,Adulte,Moyen,Beauté,Mobile,60.44,Non,4,Non,2023-04-23
117,Homme,46,4450.8,Mature,Élevé,Mode,Mobile,81.55,Non,3,Non,2023-02-10
118,Femme,21,2816.06,Jeune,Moyen,Mode,Desktop,53.95,Non,2,Non,2023-05-08
119,Femme,46,2609.71,Mature,Moyen,Mode,Desktop,59.78,Oui,3,Non,2023-08-08
120,Homme,46,3275.62,Mature,Moyen,Maison,Email,46.91,Oui,5,Non,2023-07-12
121,Femme,47,3191.76,Mature,Moyen,Maison,Desktop,155.48,Non,3,Non,2023-06-17
122,Homme,50,2612.54,Mature,Moyen,Sport,App,148.45,Oui,3,Non,2023-07-31
123,Femme,60,2642.52,Mature,Moyen,Mode,Mobile,135.45,Oui,3,Non,2023-03-11
124,Homme,34,2870.26,Adulte,Moyen,Sport,Desktop,107.14,Non,4,Non,2023-11-12
125,Homme,39,2147.0,Adulte,Moyen,Maison,Email,78.7,Non,3,Non,2023-09-03
126,Femme,33,3340.39,Adulte,Moyen,Maison,Desktop,62.63,Non,3,Non,2023-06-20
127,Femme,38,1674.27,Adulte,Bas,Beauté,Mobile,25.8,Non,2,Non,2023-12-25
128,Homme,53,2922.46,Mature,Moyen,Électronique,Mobile,173.15,Oui,2,Non,2023-02-10
129,Femme,24,2781.09,Jeune,Moyen,Beauté,Desktop,29.94,Non,4,Non,2023-10-19
130,Femme,29,1913.95,Adulte,Bas,Mode,Desktop,31.12,Non,3,Non,2023-06-01
131,Femme,51,1373.64,Mature,Bas,Beauté,Mobile,38.39,Non,3,Non,2023-11-09
132,Homme,48,2635.47,Mature,Moyen,Électronique,Mobile,44.54,Oui,5,Non,2023-11-07
133,Homme,34,3749.48,Adulte,Moyen,Électronique,Email,110.97,Non,3,Non,2023-04-20
134,Homme,46,3346.37,Mature,Moyen,Maison,Email,126.2,Oui,5,Non,2023-08-10
135,Homme,41,1000.0,Mature,Bas,Sport,Mobile,125.1,Non,4,Non,2023-05-06
136,Homme,53,4813.21,Mature,Élevé,Électronique,App,67.98,Oui,3,Non,2023-12-29
137,Homme,38,3815.68,Adulte,Moyen,Sport,Desktop,53.9,Non,2,Non,2023-10-25
138,Homme,48,2509.1,Mature,Moyen,Électronique,Desktop,131.05,Non,1,Non,2023-08-06
139,Homme,64,3174.47,Senior,Moyen,Électronique,Mobile,52.3,Non,3,Non,2023-07-21
140,Homme,43,2165.73,Mature,Moyen,Maison,Email,56.52,Non,3,Non,2023-03-25
141,Femme,38,2087.77,Adulte,Moyen,Maison,App,121.7,Oui,5,Non,2023-07-27
142,Homme,45,2383.11,Mature,Moyen,Maison,Mobile,57.77,Non,2,Non,2023-01-09
143,Femme,34,1948.62,Adulte,Bas,Mode,Desktop,28.98,Oui,4,Non,2023-09-09
144,Femme,61,2505.08,Senior,Moyen,Beauté,Email,40.12,Non,3,Non,2023-04-05
145,Femme,39,3255.8,Adulte,Moyen,Maison,App,38.63,Non,4,Non,2023-06-04
146,Homme,35,4433.28,Adulte,Élevé,Électronique,Mobile,138.53,Non,1,Oui,2023-05-30
147,Homme,29,4810.44,Adulte,Élevé,Maison,Email,51.48,Non,3,Non,2023-09-07
148,Homme,48,2840.9,Mature,Moyen,Maison,Mobile,89.86,Non,2,Non,2023-06-14
149,Homme,46,3540.43,Mature,Moyen,Électronique,Desktop,287.13,Non,4,Non,2023-08-22
150,Femme,33,3523.58,Adulte,Moyen,Beauté,Email,129.57,Non,2,Oui,2023-01-25
151,Homme,43,2316.55,Mature,Moyen,Sport,Desktop,26.8,Oui,4,Non,2023-09-16
152,Homme,22,5380.3,Jeune,Élevé,Électronique,Mobile,159.09,Non,2,Non,2023-01-03
153,Homme,39,4426.48,Adulte,Élevé,Maison,Desktop,128.61,Non,2,Non,2023-05-01
154,Homme,42,3370.2,Mature,Moyen,Électronique,Mobile,63.47,Oui,3,Non,2023-07-15
155,Homme,55,4623.69,Mature,Élevé,Électronique,Mobile,55.96,Non,3,Non,2023-10-28
156,Femme,30,3137.91,Adulte,Moyen,Maison,Desktop,169.95,Non,4,Non,2023-08-22
157,Homme,25,3273.68,Jeune,Moyen,Électronique,App,100.62,Oui,3,Non,2023-05-03
158,Femme,29,4027.32,Adulte,Élevé,Maison,Email,126.58,Non,4,Non,2023-05-04
159,Homme,24,4560.91,Jeune,Élevé,Électronique,Mobile,97.03,Non,3,Non,2023-02-06
160,Femme,51,2980.15,Mature,Moyen,Électronique,Email,50.93,Non,1,Non,2023-02-03
161,Homme,53,4706.32,Mature,Élevé,Électronique,Mobile,72.4,Non,3,Non,2023-04-21
162,Homme,41,2997.4,Mature,Moyen,Électronique,Mobile,94.26,Non,3,Non,2023-12-17
163,Femme,50,2494.81,Mature,Moyen,Mode,Desktop,40.99,Non,4,Non,2023-08-05
164,Femme,39,2207.03,Adulte,Moyen,Beauté,Desktop,46.48,Non,3,Non,2023-05-10
165,Femme,37,3783.3,Adulte,Moyen,Beauté,Email,41.54,Non,2,Oui,2023-11-25
166,Homme,34,3169.12,Adulte,Moyen,Électronique,Desktop,485.69,Oui,3,Non,2023-09-12
167,Femme,34,2378.87,Adulte,Moyen,Maison,Desktop,92.83,Non,3,Non,2023-04-04
168,Homme,22,2956.95,Jeune,Moyen,Maison,Desktop,40.94,Non,3,Non,2023-03-30
169,Homme,40,4441.2,Adulte,Élevé,Maison,Mobile,54.45,Oui,3,Non,2023-01-29
170,Femme,37,3704.93,Adulte,Moyen,Maison,Email,84.59,Oui,4,Non,2023-01-14
171,Femme,45,2484.12,Mature,Moyen,Beauté,Mobile,26.04,Oui,4,Non,2023-10-11
172,Homme,38,2547.08,Adulte,Moyen,Sport,Desktop,50.96,Non,3,Non,2023-09-13
173,Homme,36,2229.49,Adulte,Moyen,Électronique,Mobile,265.8,Non,1,Non,2023-05-16
174,Femme,29,2125.26,Adulte,Moyen,Beauté,Mobile,104.47,Non,2,Oui,2023-10-22
175,Femme,38,2419.1,Adulte,Moyen,Maison,Mobile,215.62,Oui,5,Non,2023-02-12
176,Femme,45,3898.6,Mature,Moyen,Maison,Mobile,47.47,Non,4,Non,2023-02-06
177,Homme,26,2625.98,Adulte,Moyen,Maison,App,59.62,Non,2,Oui,2023-01-27
178,Homme,38,4401.55,Adulte,Élevé,Maison,App,102.31,Non,3,Non,2023-06-30
179,Homme,40,1770.68,Adulte,Bas,Sport,Desktop,78.86,Oui,3,Non,2023-11-25
180,Homme,30,5127.78,Adulte,Élevé,Mode,Desktop,81.18,Non,4,Non,2023-03-18
181,Homme,32,2583.83,Adulte,Moyen,Sport,Mobile,44.28,Non,2,Oui,2023-07-10
182,Homme,40,2964.17,Adulte,Moyen,Maison,Email,55.85,Non,4,Non,2023-02-10
183,Femme,26,2227.96,Adulte,Moyen,Beauté,Mobile,97.07,Non,2,Non,2023-05-28
184,Homme,41,2234.2,Mature,Moyen,Électronique,Mobile,62.74,Oui,3,Non,2023-07-03
185,Homme,29,4932.6,Adulte,Élevé,Sport,Desktop,50.12,Non,4,Non,2023-07-21
186,Homme,48,3910.01,Mature,Moyen,Électronique,Mobile,162.63,Non,1,Non,2023-06-02
187,Femme,61,2622.94,Senior,Moyen,Beauté,Mobile,34.67,Oui,5,Non,2023-03-08
188,Homme,29,2098.7,Adulte,Moyen,Électronique,Mobile,104.1,Non,2,Non,2023-05-09
189,Homme,43,3362.84,Mature,Moyen,Maison,App,35.78,Oui,5,Non,2023-08-29
190,Femme,30,2667.99,Adulte,Moyen,Électronique,Email,67.79,Oui,2,Non,2023-11-08
191,Homme,48,3443.68,Mature,Moyen,Électronique,Desktop,85.57,Non,3,Non,2023-05-08
192,Homme,25,2155.66,Jeune,Moyen,Mode,Mobile,238.46,Non,3,Non,2023-09-28
193,Homme,42,4167.95,Mature,Élevé,Maison,Desktop,48.33,Non,2,Oui,2023-09-05
194,Homme,29,3309.4,Adulte,Moyen,Électronique,Desktop,150.05,Non,4,Non,2023-03-16
195,Homme,35,2340.53,Adulte,Moyen,Sport,Email,183.98,Non,4,Non,2023-05-01
196,Femme,27,3079.96,Adulte,Moyen,Électronique,App,58.03,Oui,5,Non,2023-07-12
197,Femme,46,3236.99,Mature,Moyen,Maison,Mobile,50.78,Non,2,Non,2023-03-24
198,Femme,29,3667.41,Adulte,Moyen,Beauté,Mobile,182.5,Non,2,Oui,2023-09-23
199,Homme,43,2286.27,Mature,Moyen,Électronique,Desktop,79.35,Oui,3,Non,2023-11-24
200,Homme,34,3353.4,Adulte,Moyen,Maison,App,158.04,Non,2,Non,2023-07-20
201,Homme,36,4199.45,Adulte,Élevé,Sport,Desktop,117.98,Oui,3,Non,2023-09-20
202,Femme,39,3571.63,Adulte,Moyen,Beauté,Desktop,54.65,Non,3,Non,2023-11-10
203,Homme,30,2768.04,Adulte,Moyen,Électronique,Mobile,45.12,Non,2,Non,2023-11-08
204,Homme,40,2425.86,Adulte,Moyen,Sport,Email,82.51,Non,4,Non,2023-01-23
205,Femme,53,1790.29,Mature,Bas,Beauté,Desktop,51.3,Non,3,Non,2023-08-19
206,Homme,30,4392.97,Adulte,Élevé,Sport,Mobile,76.3,Non,3,Non,2023-08-21
207,Femme,49,2044.97,Mature,Moyen,Maison,Desktop,77.34,Non,3,Non,2023-07-11
208,Femme,52,2520.69,Mature,Moyen,Beauté,Desktop,26.45,Non,4,Non,2023-03-31
209,Femme,29,2949.78,Adulte,Moyen,Beauté,Mobile,29.74,Non,2,Oui,2023-07-11
210,Homme,23,2632.55,Jeune,Moyen,Mode,Mobile,48.95,Non,4,Non,2023-06-17
211,Homme,41,2320.46,Mature,Moyen,Maison,Mobile,51.36,Non,3,Non,2023-07-21
212,Homme,32,3108.17,Adulte,Moyen,Maison,App,122.41,Oui,4,Non,2023-04-04
213,Homme,56,3717.34,Mature,Moyen,Sport,Mobile,56.09,Non,4,Non,2023-12-29
214,Homme,38,3641.23,Adulte,Moyen,Électronique,Mobile,73.84,Non,3,Non,2023-08-22
215,Homme,29,3192.59,Adulte,Moyen,Sport,Mobile,70.21,Non,3,Non,2023-02-02
216,Homme,26,3251.35,Adulte,Moyen,Maison,Desktop,96.99,Oui,3,Non,2023-12-30
217,Femme,48,2972.42,Mature,Moyen,Beauté,Mobile,49.18,Non,4,Non,2023-12-22
218,Homme,32,2032.51,Adulte,Moyen,Électronique,Email,88.93,Non,4,Non,2023-04-26
219,Femme,38,2132.73,Adulte,Moyen,Mode,Mobile,79.04,Non,2,Non,2023-04-17
220,Homme,47,2674.74,Mature,Moyen,Sport,Mobile,41.28,Oui,5,Non,2023-08-12
221,Homme,33,1987.39,Adulte,Bas,Mode,Desktop,36.01,Oui,5,Non,2023-10-18
222,Homme,37,3533.64,Adulte,Moyen,Électronique,Mobile,221.08,Non,4,Non,2023-05-26
223,Femme,37,3499.4,Adulte,Moyen,Beauté,Mobile,85.04,Non,2,Non,2023-01-30
224,Femme,44,2826.63,Mature,Moyen,Maison,App,55.09,Oui,4,Non,2023-11-09
225,Femme,43,2950.45,Mature,Moyen,Mode,Desktop,77.52,Non,4,Non,2023-01-19
226,Femme,35,3813.18,Adulte,Moyen,Mode,Email,111.87,Oui,3,Non,2023-07-23
227,Homme,38,3282.91,Adulte,Moyen,Maison,Mobile,34.48,Non,2,Oui,2023-10-17
228,Femme,34,2814.41,Adulte,Moyen,Beauté,Desktop,149.28,Non,4,Non,2023-01-24
229,Homme,23,4579.28,Jeune,Élevé,Mode,Email,121.58,Oui,4,Non,2023-03-12
230,Homme,40,1976.84,Adulte,Bas,Électronique,Desktop,61.6,Oui,4,Non,2023-03-22
231,Femme,56,2993.94,Mature,Moyen,Beauté,Desktop,159.16,Non,2,Non,2023-10-30
232,Femme,29,2432.82,Adulte,Moyen,Beauté,Email,27.09,Non,3,Non,2023-10-07
233,Femme,30,2360.61,Adulte,Moyen,Maison,Mobile,124.63,Non,2,Non,2023-01-16
234,Femme,29,2531.06,Adulte,Moyen,Beauté,Mobile,61.17,Non,3,Non,2023-10-08
235,Femme,45,3165.59,Mature,Moyen,Beauté,Email,84.12,Non,2,Non,2023-03-24
236,Femme,42,3468.63,Mature,Moyen,Beauté,Mobile,65.29,Non,2,Non,2023-11-30
237,Femme,36,1644.57,Adulte,Bas,Beauté,Desktop,24.09,Non,3,Non,2023-08-24
238,Femme,28,1242.72,Adulte,Bas,Beauté,Desktop,26.93,Non,2,Non,2023-04-05
239,Homme,38,2808.13,Adulte,Moyen,Électronique,Desktop,80.32,Non,2,Non,2023-10-02
240,Femme,22,2473.86,Jeune,Moyen,Beauté,Desktop,145.28,Non,2,Oui,2023-02-24
241,Femme,39,3756.76,Adulte,Moyen,Beauté,Desktop,40.96,Non,3,Non,2023-06-03
242,Homme,46,3036.72,Mature,Moyen,Sport,App,35.68,Non,3,Non,2023-03-13
243,Femme,25,3003.82,Jeune,Moyen,Maison,Mobile,41.97,Non,3,Non,2023-03-27
244,Homme,22,2393.63,Jeune,Moyen,Électronique,Email,107.94,Oui,4,Non,2023-04-08
245,Homme,53,2674.86,Mature,Moyen,Sport,Desktop,48.65,Non,3,Non,2023-07-13
246,Femme,31,3967.91,Adulte,Moyen,Maison,Desktop,51.32,Non,4,Non,2023-03-18
247,Homme,49,3750.95,Mature,Moyen,Mode,Mobile,45.31,Non,4,Non,2023-05-08
248,Homme,36,4282.88,Adulte,Élevé,Sport,Mobile,96.65,Oui,5,Non,2023-07-21
249,Homme,36,4262.29,Adulte,Élevé,Sport,Email,72.43,Oui,4,Non,2023-12-11
250,Homme,42,2076.79,Mature,Moyen,Sport,Mobile,119.73,Non,3,Non,2023-04-07
251,Femme,29,1911.37,Adulte,Bas,Mode,Mobile,50.17,Oui,5,Non,2023-02-10
252,Homme,39,4490.38,Adulte,Élevé,Électronique,Mobile,134.48,Non,1,Non,2023-06-04
253,Femme,34,4603.51,Adulte,Élevé,Mode,Desktop,141.37,Non,4,Non,2023-04-03
254,Homme,24,3630.57,Jeune,Moyen,Mode,Desktop,220.64,Non,4,Non,2023-11-09
255,Homme,41,2775.52,Mature,Moyen,Sport,App,125.43,Oui,5,Non,2023-02-08
256,Homme,35,3398.1,Adulte,Moyen,Électronique,Email,159.39,Non,2,Non,2023-05-24
257,Homme,36,4312.69,Adulte,Élevé,Mode,Email,75.08,Non,3,Non,2023-06-30
258,Femme,25,2926.09,Jeune,Moyen,Beauté,Mobile,224.29,Non,3,Non,2023-08-23
259,Femme,53,2749.73,Mature,Moyen,Beauté,Mobile,42.26,Oui,4,Non,2023-02-04
260,Homme,46,2789.56,Mature,Moyen,Sport,Mobile,79.86,Non,4,Non,2023-07-27
261,Homme,47,4288.35,Mature,Élevé,Sport,Mobile,49.6,Oui,5,Non,2023-05-23
262,Femme,34,2719.58,Adulte,Moyen,Beauté,App,71.89,Oui,4,Non,2023-01-27
263,Homme,20,3307.16,Jeune,Moyen,Sport,Email,89.27,Oui,5,Non,2023-03-30
264,Homme,57,2701.39,Mature,Moyen,Électronique,Mobile,34.96,Oui,4,Non,2023-02-02
265,Homme,37,4269.74,Adulte,Élevé,Maison,App,67.86,Oui,5,Non,2023-03-17
266,Femme,30,2275.33,Adulte,Moyen,Beauté,Email,72.0,Non,2,Non,2023-07-25
267,Femme,42,1733.25,Mature,Bas,Maison,App,83.69,Oui,4,Non,2023-09-23
268,Femme,49,3692.53,Mature,Moyen,Beauté,Mobile,89.88,Non,2,Oui,2023-01-12
269,Homme,37,2877.16,Adulte,Moyen,Électronique,Mobile,39.93,Non,3,Non,2023-08-16
270,Homme,50,2749.85,Mature,Moyen,Électronique,Desktop,88.34,Non,4,Non,2023-11-23
271,Femme,48,4024.49,Mature,Élevé,Électronique,Mobile,260.8,Non,1,Non,2023-07-23
272,Femme,27,3254.37,Adulte,Moyen,Mode,Desktop,216.99,Oui,3,Non,2023-01-20
273,Femme,31,1172.29,Adulte,Bas,Maison,Mobile,21.48,Non,2,Non,2023-02-03
